Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Image
1010,359.247515,56.774888,359.247445,56.774890,315,578,314.857,578.010,1,+11774.2,1.0000,+1913.21,adu,-10.1773,+0.1764,1,E,2587.889282,2548.578705,2710.256087,2567.063965,2724.979190,0.000000,283.204850,159.643799,6,6,6,0,9,15,113.84,0,442,76.19,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1011,359.394672,56.776916,359.396607,56.776885,613,578,616.913,577.791,1,+32984.2,1.0000,+646.666,adu,-11.2958,+0.0213,1,E,2579.956665,2576.213422,2610.347737,2567.161377,2612.285569,0.000000,100.715119,51.871353,6,6,6,0,9,15,113.84,0,442,4.95,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1012,359.443093,56.777004,359.441429,56.775004,711,576,707.459,568.697,1,+3271.47,1.0000,+327.278,adu,-8.7869,+0.1086,1,E,2560.774658,2552.017321,2560.682132,2566.932617,2560.817703,0.000000,26.378867,27.034805,6,6,6,0,9,15,113.84,0,459,0.20,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1013,359.493411,56.778992,359.493707,56.779077,813,581,813.607,581.300,1,+70575.9,1.0000,+440.707,adu,-12.1216,+0.0068,1,E,2579.110596,2552.136215,2580.315018,2573.170410,2580.507626,0.000000,31.562550,29.487949,6,6,6,0,9,15,113.84,0,457,4.37,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1014,359.253909,56.775522,359.253831,56.775621,328,580,327.853,580.372,1,+60174.5,1.0000,+438.170,adu,-11.9485,+0.0079,1,E,2563.715088,2563.089484,2570.945651,2566.679199,2571.321021,0.000000,43.983777,30.385937,6,6,6,0,9,15,113.84,0,448,4.25,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1015,359.460332,56.778307,359.460464,56.778226,746,580,746.261,579.695,1,+13392.9,1.0000,+518.006,adu,-10.3172,+0.0420,1,E,2583.016602,2576.845186,2605.464304,2570.280518,2607.162164,0.000000,94.181039,42.266899,6,6,6,0,9,15,113.84,0,449,1.32,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1016,359.111703,56.773404,359.111863,56.773507,40,580,40.334,580.370,1,+13185.2,1.0000,+400.756,adu,-10.3002,+0.0330,1,E,2567.714355,2553.089164,2571.672830,2565.015625,2571.959219,0.000000,38.423764,32.126602,6,6,6,0,9,15,113.84,0,447,4.71,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1017,359.202541,56.775046,359.202702,56.775128,224,581,224.333,581.293,1,+7014.91,1.0000,+585.631,adu,-9.6151,+0.0906,1,E,2568.290771,2554.987532,2590.725515,2556.840820,2592.001301,0.000000,81.406028,48.475830,6,6,6,0,9,15,113.84,0,445,4.07,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1018,359.206919,56.776465,359.206983,56.776487,233,586,233.132,586.079,1,+24230.2,1.0000,+446.772,adu,-10.9609,+0.0200,1,E,2564.495361,2574.739667,2570.721693,2556.689209,2571.099279,0.000000,44.111572,35.040498,6,6,6,0,9,15,113.84,0,447,4.12,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
1019,359.186727,56.775083,359.186713,56.775156,192,582,191.978,582.271,1,+26523.4,1.0000,+408.899,adu,-11.0591,+0.0167,1,E,2561.428223,2559.358502,2566.435516,2558.003418,2566.777141,0.000000,41.923553,31.368750,6,6,6,0,9,15,113.84,0,445,4.11,/Users/sl/Documents/Teaching/PHY241/stack_B_300.fit
