RAJ2000,DEJ2000,umag,gmag,Teff,Mass
11.259953, 14.4747000, 20.24, 19.98, 17160, 0.557
11.340149, 25.9512620, 20.55, 20.11, 15899, 0.603
11.403585, 15.4962550, 21.79, 20.51, 8251, 0.163
11.406084, 1.1167400, 18.76, 19.08, 31034, 0.589
11.417485, -0.4046800, 19.56, 19.07, 9392, 0.847
11.428173, 25.9323300, 20.55, 20.39, 14698, 0.643
11.450918, 0.0855270, 19.71, 19.23, 10048, 0.704
11.491810, 14.9138420, 18.86, 18.33, 6743, 0.716
11.543192, 13.6528600, 18.46, 18.05, 11012, 0.805
11.549045, -0.1283150, 19.46, 18.99, 13037, 0.657
11.668522, 0.6709070, 19.65, 19.30, 12883, 0.634
11.695627, -0.6198580, 19.83, 19.42, 9573, 0.691
11.702754, 25.1542000, 18.59, 18.28, 16232, 0.564
11.921062, 0.7004880, 19.08, 18.86, 17027, 0.627
11.966578, -0.2697930, 20.02, 19.66, 10006, 0.772
12.033257, 14.6709770, 21.01, 20.53, 12887, 0.581
12.080307, 16.0662560, 20.46, 20.13, 16530, 0.447
12.081530, -0.3470910, 19.33, 18.93, 10219, 0.760
12.136710, -0.0614510, 20.10, 19.97, 21999, 0.583
12.208803, -0.3598270, 19.44, 19.25, 17684, 0.612
12.229895, 15.3635450, 19.09, 18.69, 11260, 0.799
12.252007, -9.7008450, 18.60, 18.70, 18841, 0.667
12.317347, -9.7734870, 19.32, 18.83, 7574, 0.506
12.387080, 0.8859940, 20.58, 20.09, 8269, 0.442
12.428325, 14.8812160, 19.60, 19.65, 24658, 0.589
12.516695, 15.0349210, 20.34, 20.49, 27662, 0.839
12.549139, 13.9368420, 19.09, 19.47, 40843, 0.481
12.556363, -0.0251080, 18.77, 18.64, 20016, 0.463
12.582825, 0.9905410, 20.43, 20.06, 8392, 0.353
12.698399, -0.3880290, 19.07, 18.78, 11141, 1.105
12.722510, -0.0552450, 20.24, 19.84, 12287, 0.611
12.759129, 13.8241430, 20.33, 20.23, 18799, 0.561
12.938932, 15.6406460, 19.13, 18.75, 10441, 0.798
12.986926, 1.0144960, 18.82, 18.34, 10078, 0.829
13.133486, 13.8214080, 20.23, 20.33, 17452, 0.746
13.356952, -0.9709380, 19.55, 19.15, 13281, 0.509
13.452806, 14.2080620, 19.16, 18.74, 13156, 0.629
13.610166, 15.2964520, 19.21, 18.86, 15067, 0.617
13.650223, -0.8282610, 18.93, 18.52, 7277, 0.556
13.661845, -9.8721510, 17.19, 16.84, 8750, 0.614
13.947049, 0.0663060, 18.56, 18.24, 15231, 0.707
