RAJ2000,DEJ2000,umag,gmag,Teff,Mass
12.229895,15.363545,19.09,18.69,11260,0.799
12.252007,-9.700845,18.60,18.70,18841,0.667
12.317347,-9.773487,19.32,18.83,7574,0.506
12.387080,0.885994,20.58,20.09,8269,0.442
12.428325,14.881201,19.60,19.65,26141,
12.428325,14.881216,19.60,19.65,24658,0.589
12.516695,15.034921,20.34,20.49,27662,0.839
12.549139,13.936842,19.09,19.47,40843,0.481
12.556363,-0.025108,18.77,18.64,20016,0.463
12.582825,0.990541,20.43,20.06,8392,0.353
12.635624,0.302331,19.92,19.56,10685,
12.698399,-0.388029,19.07,18.78,11364,
12.698399,-0.388029,19.07,18.78,11359,
12.698399,-0.388029,19.07,18.78,11141,1.105
12.722510,-0.055245,20.24,19.84,12287,0.611
12.759129,13.824143,20.33,20.23,18799,0.561
12.938932,15.640646,19.13,18.75,10441,0.798
12.956845,0.997411,17.09,17.06,7754,
12.986926,1.014496,18.82,18.34,9886,
12.986926,1.014496,18.82,18.34,10046,
12.986926,1.014496,18.82,18.34,10078,0.829
13.035101,-0.859619,19.03,18.33,6300,
13.035101,-0.859619,19.03,18.33,6300,
13.035101,-0.859619,19.03,18.33,6300,
13.035101,-0.859619,19.03,18.33,7147,
